recording_id,relative_path,condition,cohort,include_main,signal_format,default_lead,notes
R01_resting_rec_1,Support_Tools/Recordings/R01_R10_ADS1293_IMU_TS/R01_Resting_2min_rec_1_20260507_011203.txt,resting,R01_R10_ADS1293_IMU_TS,1,ADS1293_IMU_TS,ch1,Resting recording 1
R01_resting_rec_2,Support_Tools/Recordings/R01_R10_ADS1293_IMU_TS/R01_Resting_2min_rec_2_20260507_011432.txt,resting,R01_R10_ADS1293_IMU_TS,1,ADS1293_IMU_TS,ch1,Resting recording 2
R02_standing,Support_Tools/Recordings/R01_R10_ADS1293_IMU_TS/R02_Standing_2min_20260507_011728.txt,standing,R01_R10_ADS1293_IMU_TS,1,ADS1293_IMU_TS,ch1,Standing
R03_breathing,Support_Tools/Recordings/R01_R10_ADS1293_IMU_TS/R03_Breathing_2min_20260507_012029.txt,breathing,R01_R10_ADS1293_IMU_TS,1,ADS1293_IMU_TS,ch1,Breathing
R04_ra_movement,Support_Tools/Recordings/R01_R10_ADS1293_IMU_TS/R04_RA_Movement_2min_20260507_012310.txt,ra_movement,R01_R10_ADS1293_IMU_TS,1,ADS1293_IMU_TS,ch1,Right-arm electrode/IMU movement
R05_la_movement,Support_Tools/Recordings/R01_R10_ADS1293_IMU_TS/R05_LA_Movement_2min_20260507_012544.txt,la_movement,R01_R10_ADS1293_IMU_TS,1,ADS1293_IMU_TS,ch1,Left-arm electrode/IMU movement
R06_lr_sway,Support_Tools/Recordings/R01_R10_ADS1293_IMU_TS/R06_LR_Sway_2min_20260507_012830.txt,lr_sway,R01_R10_ADS1293_IMU_TS,1,ADS1293_IMU_TS,ch1,Left-right body sway
R07_fb_swaying,Support_Tools/Recordings/R01_R10_ADS1293_IMU_TS/R07_FB_Swaying_2min_20260507_013218.txt,fb_swaying,R01_R10_ADS1293_IMU_TS,1,ADS1293_IMU_TS,ch1,Forward-back body sway
R08_walking,Support_Tools/Recordings/R01_R10_ADS1293_IMU_TS/R08_Walking_2min_20260507_014010.txt,walking,R01_R10_ADS1293_IMU_TS,1,ADS1293_IMU_TS,ch1,Walking
R09_cable_movement,Support_Tools/Recordings/R01_R10_ADS1293_IMU_TS/R09_Cable_Movement_1min_20260507_014327.txt,cable_movement,R01_R10_ADS1293_IMU_TS,1,ADS1293_IMU_TS,ch1,Cable movement
R10_bus_recording_1,Support_Tools/Recordings/R01_R10_ADS1293_IMU_TS/R10_Bus_recording_1_20260507_134205.txt,bus,R01_R10_ADS1293_IMU_TS,1,ADS1293_IMU_TS,ch1,Bus ride recording 1
R10_bus_recording_2,Support_Tools/Recordings/R01_R10_ADS1293_IMU_TS/R10_Bus_recording_2_20260507_140027.txt,bus,R01_R10_ADS1293_IMU_TS,1,ADS1293_IMU_TS,ch1,Bus ride recording 2
